,Segment,nTotal,nUrban,nSuburb,dTotal,sumTotal,ratioTotal,dUrban,sumUrban,ratioUrban,dSuburb,sumSuburb,ratioSuburb,Year
0,775,640,461,179,0,88639,0.00722029806292941,0,30179,0.015275522714470326,0,58460,0.0030619226821758465,2023
1,774,770,552,218,130,88639,0.008686921106961946,91,30179,0.018290864508433015,39,58460,0.0037290455011974,2023
2,773,939,671,268,169,88639,0.010593531064204244,119,30179,0.02223400377746115,50,58460,0.004584331166609648,2023
3,772,1110,780,330,171,88639,0.012522704452893196,109,30179,0.02584578680539448,62,58460,0.005644885391720835,2023
4,771,1297,911,386,187,88639,0.014632385293155383,131,30179,0.03018655356373637,56,58460,0.006602805336982552,2023
5,770,1477,1039,438,180,88639,0.016663094123354278,128,30179,0.034427913449749825,52,58460,0.00749230242901129,2023
6,769,1705,1181,524,228,88639,0.01923532530827288,142,30179,0.039133172073296,86,58460,0.008963393773520355,2023
7,768,1917,1317,600,212,88639,0.02162704904161825,136,30179,0.043639616952185295,76,58460,0.010263427984946972,2023
8,767,2136,1453,683,219,88639,0.024097744785026905,136,30179,0.04814606183107459,83,58460,0.011683202189531304,2023
9,766,2406,1630,776,270,88639,0.02714380803032525,177,30179,0.054011067298452564,93,58460,0.013274033527198085,2023
10,765,2682,1800,882,276,88639,0.03025756156996356,170,30179,0.05964412339706418,106,58460,0.01508723913787205,2023
11,764,2926,1936,990,244,88639,0.0330103002064554,136,30179,0.06415056827595347,108,58460,0.016934656175162505,2023
12,763,3250,2129,1121,324,88639,0.03666557610081341,193,30179,0.07054574372908314,131,58460,0.01917550461854259,2023
13,762,3548,2317,1231,298,88639,0.04002752738636492,188,30179,0.0767752410616654,110,58460,0.02105713308244954,2023
14,761,3854,2481,1373,306,88639,0.043479732397703044,164,30179,0.08220948341562014,142,58460,0.02348614437222032,2023
15,760,4258,2712,1546,404,88639,0.04803754554992723,231,30179,0.08986381258491004,173,58460,0.0264454327745467,2023
16,759,4608,2903,1705,350,88639,0.05198614605309176,191,30179,0.09619271678982073,159,58460,0.029165241190557648,2023
17,758,4957,3122,1835,349,88639,0.05592346484053295,219,30179,0.10344941846979688,130,58460,0.03138898392062949,2023
18,757,5350,3328,2022,393,88639,0.06035717911980054,206,30179,0.11027535703634977,187,58460,0.034587752309271295,2023
19,756,5701,3522,2179,351,88639,0.06431706133868839,194,30179,0.11670366811358891,157,58460,0.037273349298665756,2023
20,755,6100,3723,2377,399,88639,0.06881846591229594,201,30179,0.12336392855959442,198,58460,0.04066028053369825,2023
21,754,6517,3944,2573,417,88639,0.07352294136892339,221,30179,0.13068690148778953,196,58460,0.044013000342114264,2023
22,753,6954,4173,2781,437,88639,0.07845305114001737,229,30179,0.13827495940886048,208,58460,0.04757098871022922,2023
23,752,7399,4411,2988,445,88639,0.08347341463689797,238,30179,0.14616123794691674,207,58460,0.05111187136503592,2023
24,751,7828,4629,3199,429,88639,0.08831327068220535,218,30179,0.1533848040027834,211,58460,0.05472117687307561,2023
25,750,8274,4854,3420,446,88639,0.09334491589480928,225,30179,0.16084031942741642,221,58460,0.058501539514197745,2023
26,749,8763,5106,3657,489,88639,0.09886167488351628,252,30179,0.1691904967030054,237,58460,0.0625555935682518,2023
27,748,9227,5345,3882,464,88639,0.10409639097914011,239,30179,0.17710991086517114,225,58460,0.0664043790626069,2023
28,747,9682,5561,4121,455,88639,0.10922957163325399,216,30179,0.18426720567281885,239,58460,0.07049264454327746,2023
29,746,10150,5783,4367,468,88639,0.11450941459177112,222,30179,0.19162331422512344,246,58460,0.07470065001710571,2023
30,745,10597,6017,4580,447,88639,0.11955234152009837,234,30179,0.19937705026674177,213,58460,0.07834416695176188,2023
31,744,11049,6263,4786,452,88639,0.12465167702704227,246,30179,0.20752841379767387,206,58460,0.08186794389326035,2023
32,743,11516,6503,5013,467,88639,0.12992023826983606,240,30179,0.2154809635839491,227,58460,0.08575094081423196,2023
33,742,11982,6705,5277,466,88639,0.13517751779690657,202,30179,0.2221743596540641,264,58460,0.09026684912760861,2023
34,741,12452,6929,5523,470,88639,0.14047992418687033,224,30179,0.22959673945458764,246,58460,0.09447485460143688,2023
35,740,12958,7161,5797,506,88639,0.1461884723428739,232,30179,0.23728420424798702,274,58460,0.09916182004789599,2023
